gsl 2.5-1
gsm 1.0.18-1
gspell 1.8.1-1
gssdp 1.2.1-1
gst-plugins-bad 1.16.0-2
gst-plugins-base 1.16.0-3
gst-plugins-base-libs 1.16.0-3
gst-plugins-good 1.16.0-1
gst-plugins-ugly 1.16.0-1
gstreamer 1.16.0-2
gtk-doc 1.30+1+g44c5972-2
gtk-engine-murrine 0.98.2-3
gtk-update-icon-cache 1:3.24.8+177+gae2ef1472c-1
gtk2 2.24.32-1
gtk3 1:3.24.8+177+gae2ef1472c-1
gtkmm 1:2.24.5-3
gtkmm3 3.24.1-1
gtksourceview3 3.24.11-1
gtkspell 2.0.16-7
gtkspell3 3.0.10-1
gtop 1.0.0-1
gts 0.7.6-5
guile 2.2.4-2
gupnp 1.2.1-1
gupnp-igd 0.2.5+3+gedd78a6-2
gutenprint 5.3.1-2
gvfs 1.40.1-2
gvfs-mtp 1.40.1-2
gzip 1.10-1
hardcode-fixer-git 1:r527.29a47ba-1
hardinfo 0.5.1.816.g877ea2b-1
harfbuzz 2.5.1-1
harfbuzz-icu 2.5.1-1
haskell-adjunctions 4.4-86
haskell-async 2.2.2-1
haskell-attoparsec 0.13.2.2-55
haskell-base-orphans 0.8.1-13
haskell-bifunctors 5.5.4-11
haskell-blaze-builder 0.4.1.0-8
haskell-blaze-html 0.9.1.1-28
haskell-blaze-markup 0.8.2.2-22
haskell-call-stack 0.1.0-12
haskell-cereal 0.5.8.1-1
haskell-comonad 5.0.5-10
haskell-conduit 1.3.1.1-20
haskell-conduit-extra 1.3.1.1-25
haskell-contravariant 1.5.2-1
haskell-data-default 0.7.1.1-27
haskell-data-default-class 0.1.2.0-13
haskell-data-default-instances-containers 0.0.1-25
haskell-data-default-instances-dlist 0.0.1-40
haskell-data-default-instances-old-locale 0.0.1-25
haskell-dbus 1.2.7-13
haskell-distributive 0.6-29
haskell-dlist 0.8.0.6-7
haskell-exceptions 0.10.2-7
haskell-extensible-exceptions 0.1.1.4-25
haskell-free 5.1.1-12
haskell-hashable 1.2.7.0-8
haskell-hinotify 0.4-7
haskell-http 4000.3.13-43
haskell-integer-logarithms 1.0.3-2
haskell-invariant 0.5.3-12
haskell-iwlib 0.1.0-8
haskell-kan-extensions 5.2-56
haskell-lens 4.17.1-13
haskell-libmpd 0.9.0.8-64
haskell-mono-traversable 1.0.11.0-23
haskell-network 2.8.0.0-14
haskell-network-uri 2.6.1.0-18
haskell-old-locale 1.0.0.7-19
haskell-old-time 1.1.0.3-19
haskell-parallel 3.2.2.0-6
haskell-parsec-numbers 0.1.0-7
haskell-primitive 0.6.4.0-6
haskell-profunctors 5.4-9
haskell-random 1.1-17
haskell-reflection 2.1.4-6
haskell-regex-base 0.93.2-38
haskell-regex-compat 0.95.1-18
haskell-regex-posix 0.95.2-27
haskell-resourcet 1.2.2-23
haskell-scientific 0.3.6.2-13
haskell-semigroupoids 5.3.2-22
haskell-setlocale 1.0.0.8-6
haskell-split 0.2.3.3-16
haskell-statevar 1.1.1.1-6
haskell-streaming-commons 0.2.1.1-2
haskell-tagged 0.8.6-6
haskell-th-abstraction 0.2.11.0-3
haskell-th-lift 0.7.11-8
haskell-transformers-base 0.4.5.2-40
haskell-transformers-compat 0.6.5-1
haskell-typed-process 0.2.4.1-1
haskell-unliftio-core 0.1.2.0-6
haskell-unordered-containers 0.2.10.0-10
haskell-utf8-string 1.0.1.1-13
